taster_name,title,variety,winery,points
Kerin Oâ€™Keefe,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco,86
Kerin Oâ€™Keefe,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro,86
Kerin Oâ€™Keefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi,88
Kerin Oâ€™Keefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi,88
Kerin Oâ€™Keefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta,87
Kerin Oâ€™Keefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori,87
Kerin Oâ€™Keefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi,87
Kerin Oâ€™Keefe,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi,87
Kerin Oâ€™Keefe,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia,87
Kerin Oâ€™Keefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona,87
Kerin Oâ€™Keefe,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso,87
Kerin Oâ€™Keefe,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi,87
,Ceretto 2003 Bricco Rocche PrapÃ³  (Barolo),Nebbiolo,Ceretto,92
,Ceretto 2003 Bricco Rocche Brunate  (Barolo),Nebbiolo,Ceretto,91
,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi,91
,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri,91
,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla,90
,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Nebbiolo,Giacomo Ascheri,90
Kerin Oâ€™Keefe,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano,91
Kerin Oâ€™Keefe,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Castello Romitorio,91
,Tenuta Peter SÃ¶lva & SÃ¶hne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,Tenuta Peter SÃ¶lva & SÃ¶hne,88
,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena,88
,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Sangiovese Grosso,Abbadia Ardenga,88
,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Abbazia Santa Anastasia,88
,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois,87
,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Aldegheri,87
,Campomaggio 2005  Chianti Classico,Sangiovese,Campomaggio,87
,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),Prugnolo Gentile,Carpineto,87
,Cesani 2007 Pancole  (Vernaccia di San Gimignano),Vernaccia,Cesani,87
Kerin Oâ€™Keefe,Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),Sangiovese,Tenuta di Sesta,90
Kerin Oâ€™Keefe,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan,90
Kerin Oâ€™Keefe,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone,90
Kerin Oâ€™Keefe,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls,90
Kerin Oâ€™Keefe,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti,90
Kerin Oâ€™Keefe,Terlan 2015 Pinot Bianco (Alto Adige),Pinot Bianco,Terlan,90
,Talamonti 2007 Cerasuolo RosÃ¨  (Montepulciano d'Abruzzo),Montepulciano,Talamonti,85
,Consorzio Vini Tipici di San Marino NV Moscato (San Marino),Moscato,Consorzio Vini Tipici di San Marino,85
,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Lungarotti,89
,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Marchesi Fumanelli,89
,Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Friulano,Livio Felluga,89
,Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige),Pinot Bianco,Nals Margreid,89
,Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Pico Maccario,89
,Franz Haas 2009 Sauvignon (Alto Adige),Sauvignon,Franz Haas,89
Kerin Oâ€™Keefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza,92
Kerin Oâ€™Keefe,Dionigi 2006  Sagrantino di Montefalco,Sagrantino,Dionigi,92
,Attilio Ghisolfi 2007 Pinay Red (Langhe),Red Blend,Attilio Ghisolfi,87
,Cantina del Nebbiolo 2008  Roero,Nebbiolo,Cantina del Nebbiolo,87
,Cascina Adelaide 2005 4 Vigne  (Barolo),Nebbiolo,Cascina Adelaide,87
,Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza),Barbera,Cascina La Ghersa,87
,SocrÃ© 2006 Nebbiolo (Langhe),Nebbiolo,SocrÃ©,87
,Boffa 2006 Nebbiolo (Langhe),Nebbiolo,Boffa,87
,Rabino 2008  Roero,Nebbiolo,Rabino,87
,Bellussi NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi,86
,Paladin 2007 Millesimato Brut Prosecco (Veneto),Prosecco,Paladin,86
,Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),Prosecco,Perlage,86
,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia,86
,Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia,86
,L'Antica Quercia 2007 MatiÃº Brut  (Prosecco di Conegliano),Prosecco,L'Antica Quercia,86
,Marsuret NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Marsuret,86
,Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano),Prosecco,Sommariva,86
,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol,86
,L'Antica Quercia 2007 AriÃ³ Extra Dry  (Prosecco di Conegliano),Prosecco,L'Antica Quercia,86
Kerin Oâ€™Keefe,Cavallotto 2010 Vignolo Riserva  (Barolo),Nebbiolo,Cavallotto,97
Kerin Oâ€™Keefe,Bel Colle 2012 Simposio  (Barolo),Nebbiolo,Bel Colle,95
Joe Czerwinski,Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige),Pinot Bianco,Cantina Terlano,88
Joe Czerwinski,Montresor 2001  Bianco di Custoza,Garganega,Montresor,88
Joe Czerwinski,Ronco del Gelso 1999 Chardonnay (Friuli),Chardonnay,Ronco del Gelso,88
Roger Voss,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Elena Walch,88
Roger Voss,Gini 2002 Classico  (Soave),White Blend,Gini,88
Roger Voss,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,Borgo Conventi,88
,Valiano 1997 Vino in Musica Sangiovese (Toscana),Sangiovese,Valiano,88
Roger Voss,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini,88
Joe Czerwinski,La Vis 2001 Bianco dei Sorni White (Trentino),White Blend,La Vis,88
Joe Czerwinski,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),White Blend,Fratelli Zeni,88
Joe Czerwinski,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),Chardonnay,Tommasi,88
Roger Voss,San Michele Eppan 2002 Sanct Valentin GewÃ¼rztraminer (Alto Adige),GewÃ¼rztraminer,San Michele Eppan,88
Joe Czerwinski,Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,Cantina Terlano,88
Roger Voss,Conti Formentini 2001 Rylint White (Collio),White Blend,Conti Formentini,87
,Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Astoria,85
,Cantine Maschio NV Brut Prosecco (Italy),Prosecco,Cantine Maschio,85
,Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Val d'Oca,85
,Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),Prosecco,Viticoltori Ponte,85
,Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Le Vigne di Alice,85
,Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene),Prosecco,Perlage,85
,Pizzolato 2007  Prosecco del Veneto,Prosecco,Pizzolato,85
,Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),Prosecco,Pizzolato,85
,Ca'Tullio NV Extra Dry  (Prosecco del Veneto),Prosecco,Ca'Tullio,85
,Pizzolato NV  Prosecco del Veneto,Prosecco,Pizzolato,85
Kerin Oâ€™Keefe,Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo),Nebbiolo,Revello Fratelli,89
Kerin Oâ€™Keefe,Tenuta La Marchesa 2015 Gold Label  (Gavi),Cortese,Tenuta La Marchesa,89
Kerin Oâ€™Keefe,Fattorie Romeo del Castello 2015 Vigorosa Rosato Nerello Mascalese (Etna),Nerello Mascalese,Fattorie Romeo del Castello,88
Kerin Oâ€™Keefe,Majolini 2006 Pas DosÃ© Aligi Sassu Chardonnay (Franciacorta),Chardonnay,Majolini,92
Kerin Oâ€™Keefe,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),Sangiovese,Montemercurio,92
Kerin Oâ€™Keefe,Bellavista 2006 Gran CuvÃ©e Pas OperÃ© Sparkling (Franciacorta),Sparkling Blend,Bellavista,92
Kerin Oâ€™Keefe,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),Red Blend,Valentina Cubi,92
,Santa Maria La Palma 2006 Riserva  (Cannonau di Sardegna),Cannonau,Santa Maria La Palma,87
,Argiolas 2008 Costera Cannonau (Isola dei Nuraghi),Cannonau,Argiolas,87
,Marco Cecchini 2010 TovÃ¨ White (Colli Orientali del Friuli),White Blend,Marco Cecchini,87
,Vigneti Le Monde 2010 Pinot Grigio (Friuli Grave),Pinot Grigio,Vigneti Le Monde,87
,Vigneti Le Monde 2010 Sauvignon (Friuli Grave),Sauvignon,Vigneti Le Monde,87
,AltÃ¹ris 2011 White (Venezia Giulia),White Blend,AltÃ¹ris,87
Kerin Oâ€™Keefe,Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco),Kerner,Abbazia di Novacella,93
Kerin Oâ€™Keefe,Brandini 2011 Resa 56  (Barolo),Nebbiolo,Brandini,93
Kerin Oâ€™Keefe,Brezza 2015  Dolcetto d'Alba,Dolcetto,Brezza,89
,Michele Chiarlo 2011 Le Marne  (Gavi),Cortese,Michele Chiarlo,87
,Suavia 2011  Soave Classico,Garganega,Suavia,87
,Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bacio della Luna,87
,Borgo Maragliano NV Brut Chardonnay (Piedmont),Chardonnay,Borgo Maragliano,87
,Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bortolotti,87
,Corte Falco 2010  Soave,Garganega,Corte Falco,87
,Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico),Garganega,Domenico Cavazza,87
,Cascina La Ghersa 2009 Sivoy White (Monferrato),White Blend,Cascina La Ghersa,87
Kerin Oâ€™Keefe,Sturm 2014 Sauvignon (Collio),Sauvignon,Sturm,92
Kerin Oâ€™Keefe,Palladino 2011 Ornato  (Barolo),Nebbiolo,Palladino,90
Kerin Oâ€™Keefe,Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore),Dolcetto,Pecchenino,90
Kerin Oâ€™Keefe,Poderi Colla 2013 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla,90
Kerin Oâ€™Keefe,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona),Syrah,Baracchi Riccardo,90
Kerin Oâ€™Keefe,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona),Syrah,Baracchi Riccardo,90
Kerin Oâ€™Keefe,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte),Pinot Nero,Castello di Neive,90
Kerin Oâ€™Keefe,Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale),Red Blend,Castello di Querceto,90
Kerin Oâ€™Keefe,Comm. G. B. Burlotto 2011 Acclivi  (Barolo),Nebbiolo,Comm. G. B. Burlotto,90
Kerin Oâ€™Keefe,Poggio Argentiera 2012 Capatosta  (Morellino di Scansano),Red Blend,Poggio Argentiera,91
Kerin Oâ€™Keefe,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),Red Blend,Ruffino,91
Kerin Oâ€™Keefe,Paolo Manzone 2012 Meriame  (Barolo),Nebbiolo,Paolo Manzone,85
Kerin Oâ€™Keefe,Marchesi di Barolo 2009 Riserva  (Barolo),Nebbiolo,Marchesi di Barolo,85
Kerin Oâ€™Keefe,Punset 2011 Campo Quadro Riserva  (Barbaresco),Nebbiolo,Punset,85
,Paternoster 2007 Synthesi  (Aglianico del Vulture),Aglianico,Paternoster,87
,Scubla 2008 CrÃ tis Verduzzo (Colli Orientali del Friuli),Verduzzo,Scubla,92
,Castello d'Albola 2003  Vin Santo del Chianti Classico,White Blend,Castello d'Albola,92
,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento),Chardonnay,Ferrari,92
Kerin Oâ€™Keefe,Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico),Verdicchio,Moncaro,90
Kerin Oâ€™Keefe,Valdicava 2012  Rosso di Montalcino,Sangiovese,Valdicava,86
Kerin Oâ€™Keefe,Ridolfi 2012  Rosso di Montalcino,Sangiovese,Ridolfi,86
Kerin Oâ€™Keefe,Tenuta Poggio il Castellare 2009  Brunello di Montalcino,Sangiovese,Tenuta Poggio il Castellare,86
Kerin Oâ€™Keefe,Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino),Sangiovese,Tenuta San Giorgio,86
Kerin Oâ€™Keefe,Dosio 2012  Nebbiolo d'Alba,Nebbiolo,Dosio,86
Kerin Oâ€™Keefe,Cottanera 2015 Bianco  (Etna),Carricante,Cottanera,90
Kerin Oâ€™Keefe,CVA CanicattÃ¬ 2015 Aquilae Bio Grillo (Terre Siciliane),Grillo,CVA CanicattÃ¬,90
Kerin Oâ€™Keefe,Fattoria La Rivolta 2015 Taburno Fiano (Sannio),Fiano,Fattoria La Rivolta,90
Kerin Oâ€™Keefe,Graci 2015 Rosso  (Etna),Nerello Mascalese,Graci,90
Kerin Oâ€™Keefe,Tornatore 2015 Rosato (Etna),Rosato,Tornatore,90
Kerin Oâ€™Keefe,Baglio del Cristo di Campobello 2015 Laluci White (Sicilia),White Blend,Baglio del Cristo di Campobello,90
,Ceralti 2008 Alfeo  (Bolgheri Superiore),Red Blend,Ceralti,90
,I Luoghi 2008 Campo al Fico  (Bolgheri Superiore),Red Blend,I Luoghi,90
,Jacopo Biondi-Santi 2008 Castello di MontepÃ²  (Morellino di Scansano),Sangiovese,Jacopo Biondi-Santi,90
,Le Buche 2006 Giuseppe Olivi Memento Red (Toscana),Red Blend,Le Buche,90
,Marsiliana 2005 Red (Toscana),Red Blend,Marsiliana,90
,Mazzei 2009 Fonterutoli  (Chianti Classico),Sangiovese,Mazzei,90
Kerin Oâ€™Keefe,Boffa 2013 PajÃ¨  (Barbaresco),Nebbiolo,Boffa,87
Kerin Oâ€™Keefe,Cascina Bruciata 2013  Barbaresco,Nebbiolo,Cascina Bruciata,87
Kerin Oâ€™Keefe,Castello di Neive 2013  Barbaresco,Nebbiolo,Castello di Neive,87
Kerin Oâ€™Keefe,Deltetto 2012 Bussia  (Barolo),Nebbiolo,Deltetto,87
Kerin Oâ€™Keefe,Diego Conterno 2012 Ginestra  (Barolo),Nebbiolo,Diego Conterno,87
Kerin Oâ€™Keefe,Battaglio 2013  Barbaresco,Nebbiolo,Battaglio,87
Kerin Oâ€™Keefe,Borgogno F.lli Serio e Battista 2012  Barolo,Nebbiolo,Borgogno F.lli Serio e Battista,87
Kerin Oâ€™Keefe,Travaglini 2014 Nebbiolo (Coste della Sesia),Nebbiolo,Travaglini,87
Kerin Oâ€™Keefe,Bersano 2012 Nirvasco  (Barolo),Nebbiolo,Bersano,87
Kerin Oâ€™Keefe,Cantine di Marzo NV Anni Venti Metodo Classico  (Greco di Tufo),Greco,Cantine di Marzo,87
,Fabiano 2006 Argillaia  (Lugana),Trebbiano,Fabiano,85
,Vinosia 2006 Vecchie Vigne  (Primitivo di Manduria),Primitivo,Vinosia,85
,Tommasi 2006 Chiaretto  (Bardolino Classico),RosÃ©,Tommasi,85
,Feudo Montoni 2008 P Pinot Noir (Sicilia),Pinot Noir,Feudo Montoni,85
,Montresor 2003 Capitel della Crosara  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Montresor,85
,Bellenda 2005 Col di Luna Cabernet Sauvignon (Piave),Cabernet Sauvignon,Bellenda,85
,Benanti 2006 EdÃ¨lmio White (Sicilia),White Blend,Benanti,88
,Caruso & Minini 2006 Terre di Giumara Syrah (Sicilia),Syrah,Caruso & Minini,88
,Benanti 2005 Il Monovitigno  (Etna),Nerello Mascalese,Benanti,88
Kerin Oâ€™Keefe,Antichi Vinai 1877 2013 Pietralava Red (Etna),Red Blend,Antichi Vinai 1877,88
Kerin Oâ€™Keefe,Baglio di Pianetto 2007 Cembali Nero d'Avola (Sicilia),Nero d'Avola,Baglio di Pianetto,88
Kerin Oâ€™Keefe,Casa di Grazia 2011 Gradiva Collectio Nero d'Avola (Sicilia),Nero d'Avola,Casa di Grazia,88
Kerin Oâ€™Keefe,Casa di Grazia 2013 Zahara Grillo (Sicilia),Grillo,Casa di Grazia,88
Kerin Oâ€™Keefe,Cusumano 2013 Cubia Tenuta Ficuzza Insolia (Sicilia),Insolia,Cusumano,88
Kerin Oâ€™Keefe,Viticultori Associati Canicatti 2012 Aquilae Nero d'Avola (Terre Siciliane),Nero d'Avola,Viticultori Associati Canicatti,88
Kerin Oâ€™Keefe,Vivera 2010 Salisire Bianco  (Etna),Carricante,Vivera,88
,Tenuta Luisa 2007 Rive Alte Pinot Grigio (Isonzo del Friuli),Pinot Grigio,Tenuta Luisa,85
,I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli),White Blend,I Clivi,85
,Vinai dell'Abbate 2006 Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Vinai dell'Abbate,85
,Calatrasi 2006 La Piazza Pinot Grigio (Delle Venezie),Pinot Grigio,Calatrasi,85
,Colutta 2007 Friulano (Colli Orientali del Friuli),Friulano,Colutta,85
,Principe di Corleone 2004 EvoÃ¨ Red (Sicilia),Red Blend,Principe di Corleone,85
Kerin Oâ€™Keefe,Mauro Veglio 2013 Castelletto  (Barolo),Nebbiolo,Mauro Veglio,94
Kerin Oâ€™Keefe,Ascheri 2013 Ascheri  (Barolo),Nebbiolo,Ascheri,94
Kerin Oâ€™Keefe,Nada Fiorenzo 2011 Nebbiolo (Langhe),Nebbiolo,Nada Fiorenzo,90
Kerin Oâ€™Keefe,Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano),Red Blend,Carpineto,90
Kerin Oâ€™Keefe,Citille di Sopra 2012  Rosso di Montalcino,Sangiovese,Citille di Sopra,90
Kerin Oâ€™Keefe,Dei 2012  Rosso di Montepulciano,Red Blend,Dei,90
Kerin Oâ€™Keefe,Cantine Grasso 2014 Nero d'Avola (Terre Siciliane),Nero d'Avola,Cantine Grasso,84
Kerin Oâ€™Keefe,Grifalco 2014 FrÃ  Rosato (Basilicata),Rosato,Grifalco,84
Kerin Oâ€™Keefe,Nugnes 2014 Rosato (Campania),Rosato,Nugnes,83
Kerin Oâ€™Keefe,Cantine Grasso 2013 Caporosso Nero d'Avola (Sicilia),Nero d'Avola,Cantine Grasso,83
,Bisol NV Desiderio Jeio Brut  (Prosecco del Veneto),Prosecco,Bisol,86
,Carmina NV Extra Dry  (Prosecco di Conegliano),Prosecco,Carmina,86
,CarpenÃ¨ Malvolti NV CuvÃ©e Oro Dry  (Prosecco di Conegliano),Prosecco,CarpenÃ¨ Malvolti,86
,Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene),Prosecco,Col Saliz,86
,Zonin NV Special CuvÃ©e Brut  (Prosecco del Veneto),Prosecco,Zonin,86
,Toffoli 2007 Millesimato Extra Brut  (Prosecco del Veneto),Prosecco,Toffoli,86
,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol,86
Kerin Oâ€™Keefe,Bel Colle 2013 Montersino  (Barbaresco),Nebbiolo,Bel Colle,88
Kerin Oâ€™Keefe,Boasso 2012 Margheria  (Barolo),Nebbiolo,Boasso,88
Kerin Oâ€™Keefe,Broccardo 2012 I Tre Pais  (Barolo),Nebbiolo,Broccardo,88
Kerin Oâ€™Keefe,Battaglio 2013 Serragrilli  (Barbaresco),Nebbiolo,Battaglio,87
Kerin Oâ€™Keefe,Cascina Chicco 2012 Rocche di Castelletto  (Barolo),Nebbiolo,Cascina Chicco,87
Kerin Oâ€™Keefe,Poderi Colla 2013 Bussia Dardi Le Rose  (Barolo),Nebbiolo,Poderi Colla,93
Kerin Oâ€™Keefe,Bava 2014 Piano Alto Barbera,Barbera,Bava,93
Kerin Oâ€™Keefe,Bucci 2014 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico),Verdicchio,Bucci,93
,Agricoltori del Chianti Geografico 2007 Geografico  (Chianti Classico),Sangiovese,Agricoltori del Chianti Geografico,88
,Castellare di Castellina 2005 Riserva  (Chianti Classico),Sangiovese,Castellare di Castellina,88
,Lamole di Lamole 2005 Riserva  (Chianti Classico),Sangiovese,Lamole di Lamole,88
,Caparzo 2004 Vigna La Casa  (Brunello di Montalcino),Sangiovese Grosso,Caparzo,88
,Firriato 2010 Santagostino Baglio SorÃ¬a White (Sicilia),White Blend,Firriato,85
,Fondo Antico 2009 I Versi Red (Sicilia),Red Blend,Fondo Antico,85
,Cusumano 2010 Insolia (Sicilia),Insolia,Cusumano,85
,Maggiovini 2008 Pithoi Nero d'Avola (Sicilia),Nero d'Avola,Maggiovini,84
,Masseria del Feudo Grottarossa 2009 Haermosa Chardonnay (Sicilia),Chardonnay,Masseria del Feudo Grottarossa,84
,Resonata 2010 Nero d'Avola (Sicilia),Nero d'Avola,Resonata,84
,Calatrasi 2010 Terrale Oro Nero d'Avola (Sicilia),Nero d'Avola,Calatrasi,84
Kerin Oâ€™Keefe,Feudi di San Gregorio 2014  Greco di Tufo,Greco,Feudi di San Gregorio,89
Kerin Oâ€™Keefe,Griesbauerhof 2013 St. Magdalener Classico Red (Alto Adige),Red Blend,Griesbauerhof,89
Kerin Oâ€™Keefe,Cantina Produttori San Michele Appiano 2011 Sanct Valentin Pinot Nero (Alto Adige),Pinot Nero,Cantina Produttori San Michele Appiano,89
Kerin Oâ€™Keefe,Cantina Terlano 2013 Pinot Nero (Alto Adige),Pinot Nero,Cantina Terlano,89
Kerin Oâ€™Keefe,Cembra 2013 Sauvignon (Trentino),Sauvignon,Cembra,89
Kerin Oâ€™Keefe,Cave du Vin Blanc de Morgex et de la Salle 2013 Tradizionale Blanc de Morgex et de La Salle PriÃ© Blanc (Valle d'Aosta),PriÃ© Blanc,Cave du Vin Blanc de Morgex et de la Salle,89
Kerin Oâ€™Keefe,Colterenzio 2011 Cornell Villa Nigra Pinot Nero (Alto Adige),Pinot Nero,Colterenzio,89
Kerin Oâ€™Keefe,Tenuta Peter SÃ¶lva & SÃ¶hne 2013 I Vigneti Pinot Nero (Alto Adige),Pinot Nero,Tenuta Peter SÃ¶lva & SÃ¶hne,89
Kerin Oâ€™Keefe,Tiefenbrunner 2011 Linticlarus Riserva Pinot Nero (Alto Adige),Pinot Nero,Tiefenbrunner,89
Kerin Oâ€™Keefe,Tramin 2013 Pinot Nero (Alto Adige),Pinot Nero,Tramin,89
Kerin Oâ€™Keefe,Vesevo 2016  Greco di Tufo,Greco,Vesevo,90
Kerin Oâ€™Keefe,Di Meo 2016  Greco di Tufo,Greco,Di Meo,90
Kerin Oâ€™Keefe,Feudo Montoni 2016 della Timpa Grillo (Sicilia),Grillo,Feudo Montoni,90
,Villa Mottura 2011 Le Pitre Rosato (Salento),Rosato,Villa Mottura,86
,Barraco 2010 Zibibbo (Sicilia),Zibibbo,Barraco,86
,Capolino Perlingieri 2011 Preta Falanghina (Sannio),Falanghina,Capolino Perlingieri,86
,Stemmari 2011 Grillo (Sicilia),Grillo,Stemmari,86
,Torre Quarto 2009 Sangue Blu Negroamaro (Puglia),Negroamaro,Torre Quarto,86
,Banear 2006 MamÃ n White (Delle Venezie),White Blend,Banear,86
,Di Lenardo 2007 Vigneto Vigne dai Vieris Pinot Bianco (Venezia Giulia),Pinot Bianco,Di Lenardo,86
Kerin Oâ€™Keefe,Renato Keber 2012 Pinot Grigio (Collio),Pinot Grigio,Renato Keber,88
